Date,Open,High,Low,Close,Adj Close,Volume
2022-08-30,46.174999,47.645000,46.005001,46.389999,43.367092,3238470
2022-08-31,46.750000,47.259998,46.259998,46.485001,43.455902,3797421
2022-09-01,46.035000,46.389999,45.435001,45.980000,42.983810,2158502
2022-09-02,46.474998,47.685001,46.169998,47.480000,44.386066,2718913
2022-09-05,46.200001,46.500000,45.810001,46.459999,43.432529,2335144
2022-09-06,46.474998,47.064999,46.169998,46.560001,43.526016,1843576
2022-09-07,46.029999,46.650002,45.709999,46.514999,43.483948,2197475
2022-09-08,46.919998,47.860001,46.549999,47.439999,44.348671,3900572
2022-09-09,47.990002,49.505001,47.834999,48.680000,45.507870,3859842
2022-09-12,49.005001,50.639999,48.930000,50.560001,47.265366,3984384
2022-09-13,50.799999,51.040001,49.955002,50.290001,47.012959,2999069
2022-09-14,49.744999,50.680000,49.619999,50.250000,46.975563,2742837
2022-09-15,49.845001,50.740002,49.535000,50.360001,47.078396,4252554
2022-09-16,49.700001,49.955002,49.020000,49.325001,46.110840,5528043
2022-09-19,49.145000,49.785000,48.549999,49.355000,46.138885,1461626
2022-09-20,49.584999,49.849998,48.439999,48.439999,45.283508,3029883
2022-09-21,48.000000,48.205002,47.400002,47.965000,44.839462,2577821
2022-09-22,47.014999,48.904999,46.935001,48.220001,45.077847,2696429
2022-09-23,48.314999,48.314999,46.485001,46.904999,43.848534,3892872
2022-09-26,46.369999,46.990002,45.680000,46.209999,43.198822,2675534
2022-09-27,46.830002,47.000000,45.099998,45.110001,42.170502,3415273
2022-09-28,44.549999,45.040001,43.084999,43.349998,40.525188,5605309
2022-09-29,43.419998,43.549999,42.064999,42.535000,39.763294,3692206
2022-09-30,42.779999,43.605000,42.650002,43.605000,40.763573,3760558
2022-10-03,42.845001,44.189999,42.195000,43.880001,41.020653,3177201
2022-10-04,44.650002,45.474998,44.465000,45.474998,42.511715,4372071
2022-10-05,45.279999,45.404999,43.895000,44.115002,41.240341,2810487
